NAME,COLLEGE,YEAR,POSITION,HEIGHT,WEIGHT,Wonderlic,40 time,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,TEAM,ROUND,PICK,POSITION,DRAFTED
Aaron Brooks,Virginia,1999,QB,76,203,17,4.6,,35.5,120,4.29,7.52,GNB,4,131,QB,TRUE
Aaron Dalan,Washington,1999,OT,80,328,,5.24,23,23.5,99,4.61,8.03,,,,,FALSE
Aaron Gibson,Wisconsin,1999,OT,78,386,,5.35,31,24,111,4.54,7.99,DET,1,27,T,TRUE
Aaron Smith,Northern Colorado,1999,DE,77,279,,5.06,19,29.5,110,4.34,7.48,PIT,4,109,DE,TRUE
Aaron Stecker,Western Illinois,1999,RB,70,210,,4.84,23,32.5,113,4.17,7,,,,,FALSE
Aaron Williams,Indiana,1999,DE,77,253,,4.79,19,33.5,108,4.34,7.7,,,,,FALSE
Adrian Dingle,Clemson,1999,DE,75,290,,4.94,20,33,112,4.4,7.43,SDG,5,139,DE,TRUE
Akili Smith,Oregon,1999,QB,75,227,26,4.66,,34,114,4.29,6.99,CIN,1,3,QB,TRUE
Al Wilson,Tennessee,1999,ILB,73,239,,4.56,17,33,116,4.25,7.31,DEN,1,31,LB,TRUE
Albrey Battle,Arizona State,1999,DT,75,294,,5.38,23,29,101,4.66,8.15,,,,,FALSE
Alphonso Collins,East Carolina,1999,TE,74,281,,4.83,20,32.5,108,4.41,7.37,,,,,FALSE
Alton Weaver,Oklahoma State,1999,DE,76,296,,5.02,17,29.5,106,4.44,7.62,,,,,FALSE
Amos Zereoue,West Virginia,1999,RB,68,203,,4.53,,,,4.09,,PIT,3,95,RB,TRUE
Andre Holland,Oregon State,1999,CB,69,181,,4.41,14,34,112,,,,,,,FALSE
Andre Slappey,Albany State (GA),1999,DT,77,302,,5.75,19,25.5,97,4.94,8.72,,,,,FALSE
Andre Weathers,Michigan,1999,CB,73,189,,4.65,,32,119,4.03,7.03,NYG,6,205,DB,TRUE
Andy Katzenmoyer,Ohio State,1999,ILB,75,258,,4.68,23,,,,,NWE,1,28,LB,TRUE
Anthony Cesario,Colorado State,1999,OG,78,312,,5.29,,26.5,103,,,JAX,3,88,G,TRUE
Anthony Gray,Western New Mexico,1999,RB,73,228,,4.69,16,32.5,115,4.23,7.1,,,,,FALSE
Anthony McFarland,Louisiana State,1999,DT,73,299,,4.85,25,28.5,120,4.28,7.98,TAM,1,15,DT,TRUE
Anthony Parker,Weber State (UT),1999,CB,73,197,,4.39,8,31,113,4.27,7.56,SFO,4,99,DB,TRUE
