Names,Round,Pick,Teams,Position,School,Conference,Draft Year
Jared Goff,1,1,Los Angeles Rams,QB,California,Pac-12,
Carson Wentz,1,2,Philadelphia Eagles,QB,North Dakota State,MVFC,
Joey Bosa,1,3,San Diego Chargers,DE,Ohio State,Big Ten,
Ezekiel Elliott,1,4,Dallas Cowboys,RB,Ohio State,Big Ten,
Jalen Ramsey,1,5,Jacksonville Jaguars,CB,Florida State,ACC,
Ronnie Stanley,1,6,Baltimore Ravens,OT,Notre Dame,Ind. (FBS),
DeForest Buckner,1,7,San Francisco 49ers,DE,Oregon,Pac-12,
Jack Conklin,1,8,Tennessee Titans,OT,Michigan State,Big Ten,
Leonard Floyd,1,9,Chicago Bears,OLB,Georgia,SEC,
Eli Apple,1,10,New York Giants,CB,Ohio State,Big Ten,
Vernon Hargreaves III,1,11,Tampa Bay Buccaneers,CB,Florida,SEC,
Sheldon Rankins,1,12,New Orleans Saints,DT,Louisville,ACC,
Laremy Tunsil,1,13,Miami Dolphins,OT,Ole Miss,SEC,
Karl Joseph,1,14,Oakland Raiders,S,West Virginia,Big 12,
Corey Coleman,1,15,Cleveland Browns,WR,Baylor,Big 12,
Taylor Decker,1,16,Detroit Lions,OT,Ohio State,Big Ten,
Keanu Neal,1,17,Atlanta Falcons,S,Florida,SEC,
Ryan Kelly,1,18,Indianapolis Colts,C,Alabama,SEC,
Shaq Lawson,1,19,Buffalo Bills,DE,Clemson,ACC,
Darron Lee,1,20,New York Jets,OLB,Ohio State,Big Ten,
Will Fuller,1,21,Houston Texans,WR,Notre Dame,Ind. (FBS),
Josh Doctson,1,22,Washington Redskins,WR,TCU,Big 12,
Laquon Treadwell,1,23,Minnesota Vikings,WR,Ole Miss,SEC,
William Jackson III,1,24,Cincinnati Bengals,CB,Houston,The American,
Artie Burns,1,25,Pittsburgh Steelers,CB,Miami (FL),ACC,
Paxton Lynch,1,26,Denver Broncos,QB,Memphis,The American,
Kenny Clark,1,27,Green Bay Packers,DT,UCLA,Pac-12,
Joshua Garnett,1,28,San Francisco 49ers,G,Stanford,Pac-12,
Robert Nkemdiche,1,29,Arizona Cardinals,DT,Ole Miss,SEC,
Vernon Butler,1,30,Carolina Panthers,DT,Louisiana Tech,C-USA,
Germain Ifedi,1,31,Seattle Seahawks,OT,Texas A&M,SEC,
Emmanuel Ogbah,2,32,Cleveland Browns,DE,Oklahoma State,Big 12,
Kevin Dodd,2,33,Tennessee Titans,OLB,Clemson,ACC,
Jaylon Smith,2,34,Dallas Cowboys,OLB,Notre Dame,Ind. (FBS),
Hunter Henry,2,35,San Diego Chargers,TE,Arkansas,SEC,
Myles Jack,2,36,Jacksonville Jaguars,OLB,UCLA,Pac-12,
Chris Jones,2,37,Kansas City Chiefs,DT,Mississippi State,SEC,
Xavien Howard,2,38,Miami Dolphins,CB,Baylor,Big 12,
Noah Spence,2,39,Tampa Bay Buccaneers,DE,Eastern Kentucky,OVC,
Sterling Shepard,2,40,New York Giants,WR,Oklahoma,Big 12,
Reggie Ragland,2,41,Buffalo Bills,ILB,Alabama,SEC,
Kamalei Correa,2,42,Baltimore Ravens,LB,Boise State,MW,
Austin Johnson,2,43,Tennessee Titans,DT,Penn State,Big Ten,
Jihad Ward,2,44,Oakland Raiders,DE,Illinois,Big Ten,
Derrick Henry,2,45,Tennessee Titans,RB,Alabama,SEC,
A'Shawn Robinson,2,46,Detroit Lions,DT,Alabama,SEC,
Michael Thomas,2,47,New Orleans Saints,WR,Ohio State,Big Ten,
Jason Spriggs,2,48,Green Bay Packers,OT,Indiana,Big Ten,
Jarran Reed,2,49,Seattle Seahawks,DT,Alabama,SEC,
Nick Martin,2,50,Houston Texans,C,Notre Dame,Ind. (FBS),
Christian Hackenberg,2,51,New York Jets,QB,Penn State,Big Ten,
Deion Jones,2,52,Atlanta Falcons,LB,LSU,SEC,
Su'a Cravens,2,53,Washington Redskins,LB,USC,Pac-12,
Mackensie Alexander,2,54,Minnesota Vikings,CB,Clemson,ACC,
Tyler Boyd,2,55,Cincinnati Bengals,WR,Pittsburgh,ACC,
Cody Whitehair,2,56,Chicago Bears,G,Kansas State,Big 12,
T. J. Green,2,57,Indianapolis Colts,CB,Clemson,ACC,
Sean Davis,2,58,Pittsburgh Steelers,S,Maryland,Big Ten,
Roberto Aguayo,2,59,Tampa Bay Buccaneers,K,Florida State,ACC,
Cyrus Jones,2,60,New England Patriots,CB,Alabama,SEC,
Vonn Bell,2,61,New Orleans Saints,S,Ohio State,Big Ten,
James Bradberry,2,62,Carolina Panthers,CB,Samford,SoCon,
Adam Gotsis,2,63,Denver Broncos,DT,Georgia Tech,ACC,
Kevin Byard,3,64,Tennessee Titans,S,Middle Tennessee State,C-USA,
Carl Nassib,3,65,Cleveland Browns,DE,Penn State,Big Ten,
Max Tuerk,3,66,San Diego Chargers,C,USC,Pac-12,
Maliek Collins,3,67,Dallas Cowboys,DT,Nebraska,Big Ten,
Will Redmond,3,68,San Francisco 49ers,CB,Mississippi State,SEC,
Yannick Ngakoue,3,69,Jacksonville Jaguars,DE,Maryland,Big Ten,
Bronson Kaufusi,3,70,Baltimore Ravens,DE,BYU,Ind. (FBS),
Darian Thompson,3,71,New York Giants,S,Boise State,MW,
Jonathan Bullard,3,72,Chicago Bears,DT,Florida,SEC,
Kenyan Drake,3,73,Miami Dolphins,RB,Alabama,SEC,
KeiVarae Russell,3,74,Kansas City Chiefs,CB,Notre Dame,Ind. (FBS),
Shilique Calhoun,3,75,Oakland Raiders,DE,Michigan State,Big Ten,
Shon Coleman,3,76,Cleveland Browns,OT,Auburn,SEC,
